Text,Translation,Language,Category
We are turning you onto your belly to help your lungs expand (belly facing up),폐의 팽창을 위해서 배가 아래를 향하도록 하겠습니다,Korean,Medical Instructions
We are inserting a tube to help you pass urine,원활한 소변 활동을 위해서 관을 삽입하고 있습니다,Korean,Medical Instructions
We are inserting a tube through your nose,코를 통해서 관을 삽입하고 있습니다,Korean,Medical Instructions
We are going to give you an injection in your neck to give you medications,약물 투여를 위해 목에 주사를 놓겠습니다,Korean,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure (giving injection),혈압을 측정하기 위해 주사를 놓겠습니다,Korean,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure (drawing blood),혈압을 측정하기 위해 피를 뽑겠습니다,Korean,Medical Instructions
We will give you sleeping medications.,수면제를 드리겠습니다,Korean,Medical Instructions
We will give you painkillers.,진통제를 드리겠습니다,Korean,Medical Instructions
We are giving you medication to keep your blood pressure up.,약물을 투여함으로써 혈압을 높이고 있습니다,Korean,Medical Instructions
We are going to remove the breathing tube.,호흡용 관을 제거하겠습니다,Korean,Medical Instructions
We are going to suck out your phlegm,가래를 제거하겠습니다,Korean,Medical Instructions
We are going to clean you with a sponge,스폰지로 몸을 닦겠습니다,Korean,Medical Instructions
​Turn left (while standing or sitting),몸을 왼쪽으로 돌리세요,Korean,Medical Instructions
Turn left (while lying down on the bed),왼쪽으로 돌아 누우세요,Korean,Medical Instructions
Turn right (while standing or sitting),몸을 오른쪽으로 돌리세요,Korean,Medical Instructions
Turn right (while lying down on the bed),오르쪽으로 돌아 누우세요,Korean,Medical Instructions
We will change your diapers,기저귀를 갈겠습니다,Korean,Medical Instructions
Lift up your leg,다리를 올려주세요,Korean,Medical Instructions
We are going to sit you up,앉아주세요,Korean,Medical Instructions
We are going to shift you up the bed (moving the bed),침대를 올리겠습니다,Korean,Medical Instructions
We are going to shift you up the bed (moving the patient),몸을 침대 위로 옮기겠습니다,Korean,Medical Instructions
We are going to clean your mouth,입안을 세척 하겠습니다,Korean,Medical Instructions
Do not swallow the gargle,가글을 삼키지 마세요,Korean,Medical Instructions
I am a doctor. I do not speak French. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Je suis un(e) medecin(e). Je ne parle pas Français. Je vais communiquer avec toi à travers de ce site. Repondez-moi en anglais si possible. Merci.,French,Greetings
What's your name?,Comment vous appelez-vous?,French,Greetings
Please give me your Identitification Card / Work Permit,Donnez-moi votre carte d'identification s'il vous plaît,French,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","Au cours des 14 derniers jours, avez-vous rencontré quelqu'un qui a coronavirus?",French,Contact with Others
Who? What is your relationship with them?,Qui? Quelle est votre relation avec eux?,French,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),Combien de jours avez-vous rencontrés il y a? (Il y a un tableau numérique dans la barre latérale si elles ne peuvent pas répondre),French,Contact with Others
How long were you with him/her?,Depuis combien de temps étiez-vous avec lui / elle?,French,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","Au cours des 14 derniers jours, avez-vous voyager hors de Singapour? Si oui, dites-nous les pays en anglais.",French,Contact with Others
Do you have a fever?,Avez-vous de la fièvre?,French,Symptoms
"How many days?
(You may use this for multiple symptoms)","Combien de jours?
(Vous pouvez l'utiliser pour de multiples symptômes)",French,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Avez-vous mesuré avec un thermomètre? Si vous avez fait, quelle était la valeur la plus élevée?",French,Symptoms
Runny nose?,Nez qui coule?,French,Symptoms
Cough?,La toux?,French,Symptoms
Sore throat?,Gorge irritée?,French,Symptoms
Difficulty breathing?,Difficulté à respirer?,French,Symptoms
Do you have diarrhoea? How many times a day?,Avez-vous la diarrhée? Combien de fois par jour?,French,Symptoms
Rash?,Éruption?,French,Symptoms
"Any pain? Specifically, any chest pain?","Aucune douleur? Plus précisément, une douleur thoracique?",French,Symptoms
Point to the place.,Pointez à l'endroit.,French,Symptoms
Do you have any past medical history?,Avez-vous des antécédents médicaux?,French,Medical Conditions
Please point to which ones.,S'il vous plaît indiquez lesquels.,French,Medical Conditions
Asthma,Asthme,French,Medical Conditions
Pneumonia,Pneumonie,French,Medical Conditions
Hypertension,Hypertension,French,Medical Conditions
Hyperlipidemia,hyperlipidémie,French,Medical Conditions
Diabetes,Diabète,French,Medical Conditions
Heart problems,Problèmes cardiaques,French,Medical Conditions
Kidney problems,Problèmes rénaux,French,Medical Conditions
Loss of taste,Perte du goût,French,Symptoms
Lost of Smell,Perdu l'odorat,French,Symptoms
Do you have a drug allergy?,Avez-vous une allergie médicamenteuse?,French,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","Est-ce que vous fumez? Si oui, combien de cigarettes par jour?",French,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Buvez-vous? Si oui, combien (nombre de bouteilles par semaine, le type d'alcool)?",French,Medical Conditions
"If you have any other problems, you can tell me in English.","Si vous avez d'autres problèmes, vous pouvez me dire en anglais.",French,Medical Conditions
I’m going to examine you.,Je vais vous examiner.,French,Medical Instructions
Tell me if you feel more pain.,Dites-moi si vous vous sentez encore plus de douleur.,French,Medical Instructions
Please remove your shirt.,S'il vous plaît enlevez votre chemise.,French,Medical Instructions
Keep taking deep breaths through your mouth.,Continuez à prendre des respirations profondes par la bouche.,French,Medical Instructions
"Say ""99"" when I listen with my stethoscope.",Dites « 99 » quand je l'écoute avec mon stéthoscope.,French,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Je vais mettre ce coton tige dans votre narine. Il peut sembler incomfortable, mais ce n'est pas douloureux",French,Medical Instructions
This is to test for coronavirus,Ceci sert à déterminer la présence du coronavirus,French,Medical Instructions
Tilt your head back,Inclinez votre tête,French,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Si c'est positif de coronavirus, nous vous appelons par téléphone demain",French,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Si c'est négatif de coronavirus, nous vous envoyons un SMS (texto) après 3 jours",French,Medical Instructions
"Later, you will do an X-ray","Par la suite, vous ferez un rayon X",French,Medical Instructions
There is no sign of infection on your X-ray,Il n'y a aucun signe d'infection sur votre X-ray,French,Medical Instructions
You can go back soon.,Vous pouvez y retourner bientôt.,French,Medical Instructions
"Wait here, do not leave this area","Attendez ici, ne quittez pas cet endroit",French,Medical Instructions
You have to stay in the hospital for a few days,Vous devez rester à l'hôpital pendant quelques jours,French,Medical Instructions
We need to transfer you to another location.,Nous avons besoin de vous transférer vers un autre emplacement.,French,Medical Instructions
I'll give you medicine to make you feel better,Je vais vous donner des médicaments pour vous faire sentir mieux,French,Medical Instructions
You must not work for next 5 days.,Vous ne devez pas travailler pour les 5 prochains jours.,French,Medical Instructions
You must come back if you have problems with breathing.,Vous devez revenir si vous avez des problèmes avec la respiration.,French,Medical Instructions
You must come back if you do not recover completely after 5 days,Vous devez revenir si vous ne récupérez pas complètement au bout de 5 jours,French,Medical Instructions
Read the handout carefully,Lisez attentivement le document,French,Medical Instructions
Thank you,Je vous remercie,French,Greetings
Good morning / afternoon / evening,Bonjour / Bonsoir,French,Greetings
I am the nurse,Je suis l'infirmière,French,Greetings
I am the doctor,Je suis le médecin,French,Greetings
You are in the intensive care unit.,Vous êtes dans l'unité de soins intensifs.,French,Medical Instructions
Today is Monday,Aujourd'hui c'est lundi,French,Greetings
Today is Tuesday,"Aujourd'hui, c'est mardi",French,Greetings
Today is Wednesday,Aujourd'hui c'est mercredi,French,Greetings
Today is Thursday,Aujourd'hui c'est jeudi,French,Greetings
Today is Friday,Aujourd'hui c'est vendredi,French,Greetings
Today is Saturday,Aujourd'hui c'est samedi,French,Greetings
Today is Sunday,Aujourd'hui c'est dimanche,French,Greetings
You are getting better,Vous vous améliorez,French,Greetings
We will remove the breathing tube when you are better,Nous allons retirer le tube respiratoire lorsque vous êtes mieux,French,Medical Instructions
You can talk after we remove the breathing tube,Vous pouvez parler après que nous enlever le tube respiratoire,French,Medical Instructions
Take a deep breath,Prenez une grande respiration,French,Medical Instructions
Give me a big cough,Donnez-moi une grande toux,French,Medical Instructions
Don’t struggle,Ne pas lutter,French,Medical Instructions
Don’t move,Ne pas bouger,French,Medical Instructions
Lift up your arm,Levez votre bras,French,Medical Instructions
Lift up your leg,Soulevez la jambe,French,Medical Instructions
Squeeze my hand,Pincez ma main,French,Medical Instructions
Show me two fingers,Montrez-moi deux doigts,French,Medical Instructions
Open your mouth,Ouvrez la bouche,French,Medical Instructions
Stick out your tongue,Tirez votre langue,French,Medical Instructions
Open your eyes,Ouvrez vos yeux,French,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Je vais briller une lumière dans vos yeux. Il sera brillant.,French,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,Vos poumons sont faibles. Nous allons insérer un tube respiratoire pour vous aider à respirer,French,Medical Instructions
You are going to sleep now,Vous allez dormir maintenant,French,Medical Instructions
We are turning you onto your belly to help your lungs expand,Nous vous tournant sur le ventre pour aider vos poumons se dilatent,French,Medical Instructions
We are inserting a tube to help you pass urine,Nous insérons un tube pour vous aider à passer l'urine,French,Medical Instructions
We are inserting a tube through your nose,Nous insérons un tube par le nez,French,Medical Instructions
We are going to give you an injection in your neck to give you medications,Nous allons vous donner une injection dans votre cou pour vous donner des médicaments,French,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Nous allons vous donner une injection dans le bras pour mesurer votre tension artérielle,French,Medical Instructions
We will give you sleeping medications.,Nous vous donnerons des médicaments pour dormir.,French,Medical Instructions
We will give you painkillers.,Nous vous donnerons des antalgiques.,French,Medical Instructions
We are giving you medication to keep your blood pressure up.,Nous vous donnons des médicaments pour maintenir votre tension artérielle vers le haut.,French,Medical Instructions
We are going to remove the breathing tube.,Nous allons retirer le tube respiratoire.,French,Medical Instructions
We are going to suck out your phlegm,Nous allons aspirer votre flegme,French,Medical Instructions
We are going to clean you with a sponge,Nous allons vous nettoyer avec une éponge,French,Medical Instructions
Turn left,Tournez à gauche,French,Medical Instructions
Turn right,Tournez à droite,French,Medical Instructions
We will change your diapers,Nous allons changer vos couches,French,Medical Instructions
Lift up your leg,Soulevez la jambe,French,Medical Instructions
We are going to sit you up,Nous allons vous asseoir,French,Medical Instructions
We are going to shift you up the bed,Nous allons vous déplacer le lit,French,Medical Instructions
We are going to clean your mouth,Nous allons nettoyer la bouche,French,Medical Instructions
Do not swallow the gargle,Ne pas avaler le gargarisme,French,Medical Instructions
I am a doctor. I do not speak Spanish. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Soy un doctor. Yo no hablo español. Me comunicaré con usted a través de este sitio web. contestarme en Inglés tanto como sea posible. Gracias.,Spanish,Greetings
What's your name?,¿Como te llamas?,Spanish,Greetings
Please give me your Identitification Card / Work Permit,"Por favor, dame tu permiso de trabajo / Tarjeta Identitification",Spanish,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","En los últimos 14 días, se conocieron cualquier persona que tenga coronavirus?",Spanish,Contact with Others
Who? What is your relationship with them?,¿OMS? ¿Cuál es su relación con ellos?,Spanish,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),¿Cuántos días hace que dejó de reunirse con ellos? (Hay una tabla de números en la barra lateral si no pueden responder),Spanish,Contact with Others
How long were you with him/her?,¿Cuánto tiempo estuvo con él / ella?,Spanish,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","En los últimos 14 días, viajaste fuera de Singapur? Si es así, nos dicen los países en Inglés.",Spanish,Contact with Others
Do you have a fever?,¿Tienes fiebre?,Spanish,Symptoms
"How many days?
(You may use this for multiple symptoms)","¿Cuántos días?
(Usted puede usar esto para múltiples síntomas)",Spanish,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Se ha medido con un termómetro? Si es así, ¿cuál fue la lectura más alta?",Spanish,Symptoms
Runny nose?,¿Nariz que moquea?,Spanish,Symptoms
Cough?,¿Tos?,Spanish,Symptoms
Sore throat?,¿Dolor de garganta?,Spanish,Symptoms
Difficulty breathing?,¿Respiración dificultosa?,Spanish,Symptoms
Do you have diarrhoea? How many times a day?,¿Tiene diarrea? ¿Cuántas veces al día?,Spanish,Symptoms
Rash?,¿Erupción?,Spanish,Symptoms
"Any pain? Specifically, any chest pain?","¿Cualquier dolor? En concreto, cualquier dolor en el pecho?",Spanish,Symptoms
Point to the place.,Apuntar al lugar.,Spanish,Symptoms
Do you have any past medical history?,¿Tiene alguna historia médica pasada?,Spanish,Medical Conditions
Please point to which ones.,Por favor apuntar a cuáles.,Spanish,Medical Conditions
Asthma,Asma,Spanish,Medical Conditions
Pneumonia,Neumonía,Spanish,Medical Conditions
Hypertension,Hipertensión,Spanish,Medical Conditions
Hyperlipidemia,hiperlipidemia,Spanish,Medical Conditions
Diabetes,Diabetes,Spanish,Medical Conditions
Heart problems,Problemas del corazón,Spanish,Medical Conditions
Kidney problems,Problemas de riñon,Spanish,Medical Conditions
Loss of taste,Pérdida del gusto,Spanish,Symptoms
Lost of Smell,Perdida del olfato,Spanish,Symptoms
Do you have a drug allergy?,¿Tiene una alergia a medicamentos?,Spanish,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","¿Fumas? Si sí, ¿cuántos cigarrillos al día?",Spanish,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","¿Tu bebes? Si es así, ¿cuánto (número de botellas a la semana, tipo de alcohol)?",Spanish,Medical Conditions
"If you have any other problems, you can tell me in English.","Si tiene cualquier otro problema, puede decirme en Inglés.",Spanish,Medical Conditions
I’m going to examine you.,Voy a examinarle.,Spanish,Medical Instructions
Tell me if you feel more pain.,Dime si se siente más dolor.,Spanish,Medical Instructions
Please remove your shirt.,"Por favor, elimine la camisa.",Spanish,Medical Instructions
Keep taking deep breaths through your mouth.,Mantener al respirar profundamente por la boca.,Spanish,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","Decir ""99"" cuando escucho con mi estetoscopio.",Spanish,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,"Voy a poner este bastoncillo de algodón en su fosa nasal. Usted se sentirá extraño, pero no es doloroso",Spanish,Medical Instructions
This is to test for coronavirus,Esto es a prueba de coronavirus,Spanish,Medical Instructions
Tilt your head back,Incline la cabeza de la espalda,Spanish,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Si es positivo coronavirus, que llamamos su teléfono para mañana.",Spanish,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Si es negativo coronavirus, que le enviamos SMS (texto) después de 3 días",Spanish,Medical Instructions
"Later, you will do an X-ray","Más tarde, que va a hacer una radiografía",Spanish,Medical Instructions
There is no sign of infection on your X-ray,No hay ninguna señal de infección en su X-ray,Spanish,Medical Instructions
You can go back soon.,Puede volver pronto.,Spanish,Medical Instructions
"Wait here, do not leave this area","Espera aquí, no deje esta área",Spanish,Medical Instructions
You have to stay in the hospital for a few days,Usted tiene que permanecer en el hospital durante unos días,Spanish,Medical Instructions
We need to transfer you to another location.,Necesitamos para trasladarlos a otro lugar.,Spanish,Medical Instructions
I'll give you medicine to make you feel better,Te voy a dar la medicina para que se sienta mejor,Spanish,Medical Instructions
You must not work for next 5 days.,No se debe trabajar para los próximos 5 días.,Spanish,Medical Instructions
You must come back if you have problems with breathing.,Debe volver si usted tiene problemas con la respiración.,Spanish,Medical Instructions
You must come back if you do not recover completely after 5 days,Debe volver si no se recupera completamente después de 5 días,Spanish,Medical Instructions
Read the handout carefully,Lea cuidadosamente el folleto,Spanish,Medical Instructions
Thank you,Gracias,Spanish,Greetings
Good morning / afternoon / evening,Buena mañana tarde noche,Spanish,Greetings
I am the nurse,Soy la enfermera,Spanish,Greetings
I am the doctor,Yo soy el médico,Spanish,Greetings
You are in the intensive care unit.,Usted está en la unidad de cuidados intensivos.,Spanish,Medical Instructions
Today is Monday,Hoy es Lunes,Spanish,Greetings
Today is Tuesday,Hoy es martes,Spanish,Greetings
Today is Wednesday,Hoy es Miercoles,Spanish,Greetings
Today is Thursday,Hoy es Jueves,Spanish,Greetings
Today is Friday,Hoy es viernes,Spanish,Greetings
Today is Saturday,Hoy es sábado,Spanish,Greetings
Today is Sunday,Hoy es domingo,Spanish,Greetings
You are getting better,Estás mejorando,Spanish,Greetings
We will remove the breathing tube when you are better,Vamos a retirar el tubo de respiración cuando usted es mejor,Spanish,Medical Instructions
You can talk after we remove the breathing tube,Se puede hablar después de retirar el tubo de respiración,Spanish,Medical Instructions
Take a deep breath,Tomar una respiración profunda,Spanish,Medical Instructions
Give me a big cough,Dame un gran tos,Spanish,Medical Instructions
Don’t struggle,No luches,Spanish,Medical Instructions
Don’t move,No se mueva,Spanish,Medical Instructions
Lift up your arm,Levante el brazo,Spanish,Medical Instructions
Lift up your leg,Levante la pierna,Spanish,Medical Instructions
Squeeze my hand,Aprieta mi mano,Spanish,Medical Instructions
Show me two fingers,me muestran dos dedos,Spanish,Medical Instructions
Open your mouth,Abre la boca,Spanish,Medical Instructions
Stick out your tongue,Saca la lengua,Spanish,Medical Instructions
Open your eyes,Abre tus ojos,Spanish,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Voy a brillar una luz en sus ojos. Será brillante.,Spanish,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,Sus pulmones son débiles. Vamos a insertar un tubo de respiración para ayudarle a respirar,Spanish,Medical Instructions
You are going to sleep now,Te vas a dormir ahora,Spanish,Medical Instructions
We are turning you onto your belly to help your lungs expand,Le estamos dando vuelta sobre su vientre para ayudar a sus pulmones se expanden,Spanish,Medical Instructions
We are inserting a tube to help you pass urine,Estamos insertando un tubo para ayudarle a pasar la orina,Spanish,Medical Instructions
We are inserting a tube through your nose,Estamos insertando un tubo por la nariz,Spanish,Medical Instructions
We are going to give you an injection in your neck to give you medications,Vamos a darle una inyección en el cuello para darle medicamentos,Spanish,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Vamos a darle una inyección en el brazo para medir la presión sanguínea,Spanish,Medical Instructions
We will give you sleeping medications.,Le daremos medicamentos para dormir.,Spanish,Medical Instructions
We will give you painkillers.,Le daremos analgésicos.,Spanish,Medical Instructions
We are giving you medication to keep your blood pressure up.,Le estamos dando medicamentos para mantener su presión arterial para arriba.,Spanish,Medical Instructions
We are going to remove the breathing tube.,Vamos a quitar el tubo de respiración.,Spanish,Medical Instructions
We are going to suck out your phlegm,Vamos a chupar su flema,Spanish,Medical Instructions
We are going to clean you with a sponge,Vamos a que limpiar con una esponja,Spanish,Medical Instructions
Turn left,gire a la izquierda,Spanish,Medical Instructions
Turn right,Girar a la derecha,Spanish,Medical Instructions
We will change your diapers,Vamos a cambiar los pañales,Spanish,Medical Instructions
Lift up your leg,Levante la pierna,Spanish,Medical Instructions
We are going to sit you up,Nos vamos a sentar para arriba,Spanish,Medical Instructions
We are going to shift you up the bed,Vamos a cambiar hacia arriba que la cama,Spanish,Medical Instructions
We are going to clean your mouth,Vamos a limpiar la boca,Spanish,Medical Instructions
Do not swallow the gargle,No se trague el gárgaras,Spanish,Medical Instructions
I am a doctor. I do not speak Italian. I will communicate with you using this website. Answer me in English as much as possible. Thank you.,Sono un medico. Non parlo italiano. Di impegnarsi a comunicare con te utilizzando questo sito web. Rispondimi in inglese il più possibile. Grazie.,Italian,Greetings
What's your name?,Come ti chiami?,Italian,Greetings
Please give me your Identitification Card / Work Permit,Si prega di darmi il tuo Identitification carta / permesso di lavoro,Italian,Greetings
"In the last 14 days, did you meet anyone who has coronavirus?","Negli ultimi 14 giorni, hai incontrato qualcuno che ha coronavirus?",Italian,Contact with Others
Who? What is your relationship with them?,Oms? Qual è il tuo rapporto con loro?,Italian,Contact with Others
How many days ago did you meet them? (There is a number chart in the sidebar if they cannot answer),"Quanti giorni fa, li hai conosciuti? (C'è un grafico il numero nella barra laterale se non possono rispondere)",Italian,Contact with Others
How long were you with him/her?,Da quanto tempo sei stato con lui / lei?,Italian,Contact with Others
"In the last 14 days, did you travel out of Singapore? If yes, tell us the countries in English.","Negli ultimi 14 giorni, hai viaggio di Singapore? Se sì, ci dicono i paesi in inglese.",Italian,Contact with Others
Do you have a fever?,Hai la febbre?,Italian,Symptoms
"How many days?
(You may use this for multiple symptoms)","Quanti giorni?
(È possibile utilizzare questo per sintomi multipli)",Italian,Symptoms
"Did you measure it with a thermometer? If you did, what was the highest reading?","Forse lo si misura con un termometro? Se così fosse, qual è stata la lettura più alta?",Italian,Symptoms
Runny nose?,Naso che cola?,Italian,Symptoms
Cough?,Tosse?,Italian,Symptoms
Sore throat?,Gola infiammata?,Italian,Symptoms
Difficulty breathing?,Respirazione difficoltosa?,Italian,Symptoms
Do you have diarrhoea? How many times a day?,Hai la diarrea? Quante volte al giorno?,Italian,Symptoms
Rash?,Eruzione cutanea?,Italian,Symptoms
"Any pain? Specifically, any chest pain?","Nessun dolore? In particolare, qualsiasi dolore al petto?",Italian,Symptoms
Point to the place.,Puntare al luogo.,Italian,Symptoms
Do you have any past medical history?,Avete qualche storia medica?,Italian,Medical Conditions
Please point to which ones.,Si prega di indicare quali.,Italian,Medical Conditions
Asthma,Asma,Italian,Medical Conditions
Pneumonia,Polmonite,Italian,Medical Conditions
Hypertension,Ipertensione,Italian,Medical Conditions
Hyperlipidemia,iperlipidemia,Italian,Medical Conditions
Diabetes,Diabete,Italian,Medical Conditions
Heart problems,Problemi di cuore,Italian,Medical Conditions
Kidney problems,problemi renali,Italian,Medical Conditions
Loss of taste,Perdita del gusto,Italian,Symptoms
Lost of Smell,Perso di Smell,Italian,Symptoms
Do you have a drug allergy?,Avete un'allergia ai farmaci?,Italian,Medical Conditions
"Do you smoke? If yes, how many cigarettes a day?","Fumi? Se si, quante sigarette al giorno?",Italian,Medical Conditions
"Do you drink? If yes, how much (number of bottles a week, type of alcohol)?","Bevi? Se sì, quanto (numero di bottiglie di una settimana, tipo di alcool)?",Italian,Medical Conditions
"If you have any other problems, you can tell me in English.","Se avete altri problemi, mi si può dire in inglese.",Italian,Medical Conditions
I’m going to examine you.,Ho intenzione di esaminare voi.,Italian,Medical Instructions
Tell me if you feel more pain.,Dimmi se si sente più dolore.,Italian,Medical Instructions
Please remove your shirt.,Si prega di rimuovere la camicia.,Italian,Medical Instructions
Keep taking deep breaths through your mouth.,Continuare a prendere respiri profondi attraverso la bocca.,Italian,Medical Instructions
"Say ""99"" when I listen with my stethoscope.","Dire ""99"" quando ascolto con il mio stetoscopio.",Italian,Medical Instructions
I'm going to put this cotton bud into your nostril. You will feel strange but it is not painful,Ho intenzione di mettere questo batuffolo di cotone nella narice. Vi sentirete strano ma non è doloroso,Italian,Medical Instructions
This is to test for coronavirus,Questo è quello di prova per coronavirus,Italian,Medical Instructions
Tilt your head back,Inclinare la schiena testa,Italian,Medical Instructions
"If coronavirus positive, we call your phone by tomorrow.","Se positiva coronavirus, che noi chiamiamo il telefono entro domani.",Italian,Medical Instructions
"If coronavirus negative, we send you SMS (text) after 3 days","Se coronavirus negativo, vi inviamo SMS (testo) dopo 3 giorni",Italian,Medical Instructions
"Later, you will do an X-ray","In seguito, si farà una radiografia",Italian,Medical Instructions
There is no sign of infection on your X-ray,Non v'è alcun segno di infezione sul tuo X-ray,Italian,Medical Instructions
You can go back soon.,È possibile tornare indietro al più presto.,Italian,Medical Instructions
"Wait here, do not leave this area","Aspetta qui, non lasciare questa zona",Italian,Medical Instructions
You have to stay in the hospital for a few days,Devi rimanere in ospedale per qualche giorno,Italian,Medical Instructions
We need to transfer you to another location.,Abbiamo bisogno per il trasferimento in un altro luogo.,Italian,Medical Instructions
I'll give you medicine to make you feel better,Ti darò la medicina per farvi sentire meglio,Italian,Medical Instructions
You must not work for next 5 days.,Non devi lavorare per i prossimi 5 giorni.,Italian,Medical Instructions
You must come back if you have problems with breathing.,È necessario tornare se avete problemi con la respirazione.,Italian,Medical Instructions
You must come back if you do not recover completely after 5 days,È necessario tornare indietro se non recuperare completamente dopo 5 giorni,Italian,Medical Instructions
Read the handout carefully,Leggere con attenzione il volantino,Italian,Medical Instructions
Thank you,Grazie,Italian,Greetings
Good morning / afternoon / evening,Buon giorno / pomeriggio / sera,Italian,Greetings
I am the nurse,Io sono l'infermiera,Italian,Greetings
I am the doctor,Io sono il medico,Italian,Greetings
You are in the intensive care unit.,Sei nel reparto di terapia intensiva.,Italian,Medical Instructions
Today is Monday,Oggi è lunedì,Italian,Greetings
Today is Tuesday,Oggi è martedì,Italian,Greetings
Today is Wednesday,Oggi è mercoledì,Italian,Greetings
Today is Thursday,Oggi è giovedi,Italian,Greetings
Today is Friday,Oggi è venerdì,Italian,Greetings
Today is Saturday,Oggi è sabato,Italian,Greetings
Today is Sunday,Oggi è domenica,Italian,Greetings
You are getting better,Si stanno migliorando,Italian,Greetings
We will remove the breathing tube when you are better,Provvederemo a rimuovere il tubo di respirazione quando si sta meglio,Italian,Medical Instructions
You can talk after we remove the breathing tube,Si può parlare dopo togliamo il tubo di respirazione,Italian,Medical Instructions
Take a deep breath,Fai un respiro profondo,Italian,Medical Instructions
Give me a big cough,Datemi un grande colpo di tosse,Italian,Medical Instructions
Don’t struggle,Non lottare,Italian,Medical Instructions
Don’t move,Non ti muovere,Italian,Medical Instructions
Lift up your arm,Sollevare il braccio,Italian,Medical Instructions
Lift up your leg,Sollevare la gamba,Italian,Medical Instructions
Squeeze my hand,Stringere la mano,Italian,Medical Instructions
Show me two fingers,Mostrami due dita,Italian,Medical Instructions
Open your mouth,Apri la bocca,Italian,Medical Instructions
Stick out your tongue,Tira fuori la lingua,Italian,Medical Instructions
Open your eyes,Apri gli occhi,Italian,Medical Instructions
I’m going to shine a light into your eyes. It will be bright.,Io vado a brillare una luce negli occhi. Sarà brillante.,Italian,Medical Instructions
Your lungs are weak. We are going to insert a breathing tube to help you breathe,I suoi polmoni sono deboli. Stiamo per inserire un tubo di respirazione per aiutare a respirare,Italian,Medical Instructions
You are going to sleep now,Si sta andando a dormire,Italian,Medical Instructions
We are turning you onto your belly to help your lungs expand,Ti stiamo imboccando la pancia per aiutare i vostri polmoni si espandono,Italian,Medical Instructions
We are inserting a tube to help you pass urine,Stiamo inserimento di un tubo per aiutarti a passare l'urina,Italian,Medical Instructions
We are inserting a tube through your nose,Stiamo inserimento di un tubo attraverso il naso,Italian,Medical Instructions
We are going to give you an injection in your neck to give you medications,Stiamo per dare un'iniezione nel collo per dare farmaci,Italian,Medical Instructions
We are going to give you an injection in your arm to measure your blood pressure,Stiamo per dare un'iniezione nel braccio per misurare la pressione sanguigna,Italian,Medical Instructions
We will give you sleeping medications.,Vi daremo i farmaci per dormire.,Italian,Medical Instructions
We will give you painkillers.,Vi daremo antidolorifici.,Italian,Medical Instructions
We are giving you medication to keep your blood pressure up.,Ti diamo il farmaco per mantenere la pressione sanguigna in su.,Italian,Medical Instructions
We are going to remove the breathing tube.,Stiamo per rimuovere il tubo di respirazione.,Italian,Medical Instructions
We are going to suck out your phlegm,Stiamo andando a succhiare il vostro catarro,Italian,Medical Instructions
We are going to clean you with a sponge,Stiamo andando a pulire con una spugna,Italian,Medical Instructions
Turn left,Girare a sinistra,Italian,Medical Instructions
Turn right,Girare a destra,Italian,Medical Instructions
We will change your diapers,Cambieremo i vostri pannolini,Italian,Medical Instructions
Lift up your leg,Sollevare la gamba,Italian,Medical Instructions
We are going to sit you up,Stiamo andando a sedersi in su,Italian,Medical Instructions
We are going to shift you up the bed,Ci accingiamo a spostare in sul letto,Italian,Medical Instructions
We are going to clean your mouth,Stiamo andando a pulire la bocca,Italian,Medical Instructions
Do not swallow the gargle,Non ingoiare il gargarismo,Italian,Medical Instructions
