Greetings,I am the nurse,Saya adalah suster anda,,ကျွန်ုပ်သူနာပြုတစ်ယောက်ပါ။,Аз съм медицинската сестра. ,你必须住院几天,Ako ang doktor.,Je suis l'infirmière,ຂ້າພະເຈົ້າແມ່ນພະຍາບານ,看護師です。,ខ្ញុំជា​គិលានុបដ្ឋាយិកា,Ich bin die Krankenschwester,હું નર્સ છું,,אֲנִי הָאָח,"If you have any other problems, you can tell me in Chinese.",मैं नर्स हूँ,Io sono l'infermiera,좋은 아침입니다/좋은 오후 입니다,Saya jururawat,,मी परिचारिका आहे,म  नर्स  हू,ਮੈਂ ਨਰਸ ਹਾਂ,Eu sou a enfermeira,Я медсестра,,Soy la enfermera,நீங்கள் மருத்துவமனையில் சில நாட்கள் தங்கியிருக்க வேண்டும்.,నేను నర్సుని,ฉันเป็นพยาบาล,Ben hemşireyim,Tôi là y tá ,
Greetings,I am the doctor,Saya adalah dokter anda,,ကျွန်ုပ်ဆရာဝန်တစ်ယောက်ပါ။,Аз съм на лекар,我会开药让你好转,Ikaw ay nasa ICU o intensive care unit.,Je suis le médecin,ຂ້າພະເຈົ້າແມ່ນທ່ານໝໍ,医者です。,ខ្ញុំជា​គ្រូពេទ្រ,Ich bin der Doktor,હું ડૉક્ટર છું,,אֲנִי הָרוֹפֵא,Physical Examination,मैं डॉक्टर हूं,Io sono il medico,제가 간호사 입니다,Saya doktor,,मी डॉक्टर आहे,म डाक्टर  हु,ਮੈਂ ਡਾਕਟਰ ਹਾਂ,Eu sou o doutor,Я врач,,Soy el doctor,நாங்கள் உங்களை வேறொரு இடத்திற்கு இடமாற்றம் செய்ய வேண்டும்,నేను డాక్టర్,ฉันเป็นหมอ,ben doktorum,Tôi là bác sĩ,
Medical Instructions,You are in the intensive care unit.,Anda sedang berada di ICU,,သင်ယခုအထူးကြပ်မတ်ဆောင်အထဲရောက်နေပါသည်။,Вие сте в интензивното отделение.,接下来五天不能工作,Lunes/Martes/Miyerkules/Huwebes/Biyernes/Sabado/Linggo na ngayon.,Vous êtes dans l'unité de soins intensifs.,ທ່ານຢູ່ໃນພະແນກຜູ້ປ່ວຍອາການໜັກ,今、集中治療室にいます。,អ្នកនៅក្នុងបន្ទប់សង្គ្រោះបន្ទាន់,Sie sind in der Intensivstation.,તમે ICU માં છો.,,אַתָּה בְּטִיפּוּל נִמְרָץ,"""I am going to examine you now
 Tell me if you feel any pain
 please remove your shirt""","आप गहन चिकित्सा कक्ष, याने की ICU में हैं",Sei nel reparto di terapia intensiva.,제가 의사입니다,Anda berada di Unit Jagaan Rapi (ICU),,आपण अतिदक्षता विभागात आहेत.,तपाई आइसीयु  मा  हुनुहुन्छ ,ਤੁਸੀਂ ICU ਵਿਚ ਹੋ,Você está em unidade de terapia intensiva.,Вы в отделении интенсивной терапии,,Esta en la unidad de cuidado intensivo,உடல் நிலை சீராக நான் சில மருந்துகளை தரப்போகிறேன்,మీరు ఇంటెన్సివ్ కేర్ యూనిట్లో ఉన్నారు,คุณอยู่ในหน่วยรักษาพยาบาลผู้ป่วยอาการหนัก,Yoğun bakım ünitesinde bulunmaktadır.,Anh/chị đang ở trong khu vực chăm sóc đặc biệt ,
Greetings,Today is Monday,Hari ini hari Senin,,ယနေ့တနင်္လာနေ့ဖြစ်သည်။,Днес е понеделник.,如遇到呼吸有困难必须回来,Bumubuti na ang iyong kalagayan.,Aujourd'hui c'est lundi,ມື້ນີ້ແມ່ນວັນຈັນ,今日は月曜日です。,ថ្ងៃនេះគឺជាថ្ចៃច័ន្ទ,Heute ist Montag,આજે સોમવાર છે,,הַיּוֹם יוֹם שֵׁנִי,Keep taking deep breaths through your mouth,आज सोमवार है,Oggi è lunedì,지금 중환자실에 계십니다,Hari ini hari Isnin.,,आज सोमवार आहे,आज  सोमबार  हो ,ਅੱਜ ਸੋਮਵਾਰ ਹੈ,Hoje é Segunda-feira,Сегодня понедельник,,Hoy es Lunes,நீஙகள் அடுத்த ஐந்து (5) நாட்களுக்கு வேலைக்கு செல்ல கூடாது  ,ఈరోజు సోమవారం,วันนี้วันจันทร์,Bugün Pazartesi,Hôm nay là Thứ 2,
Greetings,Today is Tuesday,Hari ini hari Selasa,,ယနေ့အင်္ဂါနေ့ဖြစ်သည်။,Днес е вторник.,五天后如果没有完全康复，请回来复诊,Aalisin namin ang tubo kapag bumuti na ang iyong kalagayan,"Aujourd'hui, c'est mardi",ມື້ນີ້ແມ່ນວັນອັງຄານ,今日は火曜日です。,ថ្ងៃនេះគឺជាថ្ចៃថ្ងៃ​អង្គារ,Heute ist Dienstag,આજે મંગળવારે છે,,הַיּוֹם יוֹם שְׁלִישִׁי,say eeee when i listen with my stethoscope,आज मंगलवार है,Oggi è martedì,오늘은 월요일/ 화요일/ 수요일/ 목요일/ 금요일/ 토요일/ 일요일/  입니다,Hari ini hari Selasa.,,आज मंगळवार आहे,आज  मंगलबार  हो ,ਅੱਜ ਮੰਗਲਵਾਰ ਹੈ,Hoje é terça-feira,"Сегодня вторник",,Hoy es martes,"உங்களுக்கு சுவாசிப்பதில் ஏதேனும் பிரச்சனை ஏற்பட்டால், எங்களிடம் திரும்பி வரவும் ",ఈరోజు మంగళవారం,วันนี้วันอังคาร,Bugün salı,Hôm nay là thứ 3,
Greetings,Today is Wednesday,Hari ini hari Rabu,,ယနေ့ဗုဒ္ဓဟူးနေ့ဖြစ်သည်။,Днес е сряда.,请仔细阅读,Maaari ka nang magsalita pagkatapos alisin ang tubo,Aujourd'hui c'est mercredi,ມື້ນີ້ແມ່ນວັນພຸດ,今日は水曜日です。,ថ្ងៃនេះគឺជាថ្ចៃពុធ,Heute ist Mittwoch,આજે બુધવાર છે,,הַיּוֹם יוֹם רְבִיעִי,Im going to put this cotton bud into your nostril. you will feel strange， please bear with me,आज बुधवार है,Oggi è mercoledì,조금씩 나아지고 있습니다,Hari ini hari Rabu.,,आज बुधवार आहे,आज  बुधबार  हो ,ਅੱਜ ਬੁੱਧਵਾਰ ਹੈ,Hoje é Quarta-feira,Сегодня среда,,Hoy es Miercoles,நீங்கள் 5 நாட்களுக்குப் பிறகு முழுமையாக குணமடையவில்லை என்றால் நீங்கள் திரும்பி வர வேண்டும்,ఈ రోజు బుధవారం,วันนี้วันพุธ,Bugün çarşamba,Hôm nay là thứ 4,
Greetings,Today is Thursday,Hari ini hari Kamis,,ယနေ့ကြာသပတေးနေ့ဖြစ်သည်။,Днес е четвъртък.,谢谢,Huminga nang malalim,Aujourd'hui c'est jeudi,ມື້ນີ້ແມ່ນວັນພະຫັດ,今日は木曜日です。,ថ្ងៃនេះគឺជាថ្ចៃព្រហស្បតិ៍,Heute ist Donnerstag,આજે ગુરુવાર છે,,הַיּוֹם יוֹם חֲמִישִׁי,this is to test for coronavirus (nasal swab),आज गुरूवार है,Oggi è giovedi,몸이 조금 나아지면 호흡용 관을 제거하겠습니다,Hari ini hari Khamis.,,आज गुरुवार आहे,आज  बिहिबार  हो ,ਅੱਜ ਵੀਰਵਾਰ ਹੈ,Hoje é quinta-feira,Сегодня четверг,,Hoy es Jueves,"
தகவல் கையேட்டை கவனமாகப் படியுங்கள்",ఈ రోజు గురువారము,วันนี้วันพฤหัสบดี,Bugün perşembe,Hôm nay là thứ 5,
Greetings,Today is Friday,Hari ini hari Jumat,,ယနေ့သောကြာနေ့ဖြစ်သည်။,Днес е петък.,您的冠状病毒的测试结果是阳性（positive) 的,Umubo nang may puwersa,Aujourd'hui c'est vendredi,ມື້ນີ້ແມ່ນວັນສຸກ,今日は金曜日です。,ថ្ងៃនេះគឺជាថ្ចៃសុក្រ,Heute ist Freitag,આજે શુક્રવાર છે,,הַיּוֹם יוֹם שִׁישִּׁי,tilt your head back,आज शुक्रवार है,Oggi è venerdì,호흡용 관을 제거한 후 말씀하세요,Hari ini hari Jumaat.,,आज शुक्रवार आहे,आज  शुक्रबार  हो ,ਅੱਜ ਸ਼ੁੱਕਰਵਾਰ ਹੈ,Hoje é sexta-feira,Сегодня пятница,,Hoy es viernes,"நன்றி, nandri",ఈ రోజు శుక్రవారం,วันนี้วันศุกร์,Bugün cuma,Hôm nay là thứ 6,
Greetings,Today is Saturday,Hari ini hari Sabtu,,ယနေ့စနေနေ့ဖြစ်သည်။,Днес е събота.,我们需要带您去医院,Huwag labanan,Aujourd'hui c'est samedi,ມື້ນີ້ແມ່ນວັນເສົາ,今日は土曜日です。,ថ្ងៃនេះគឺជាថ្ចៃសៅរ៍,Heute ist Samstag,આજે શનિવાર છે,,הַיּוֹם יוֹם שַׁבָּת,Advice,आज शनिवार है,Oggi è sabato,숨을 깊게 쉬십시오,Hari ini hari Sabtu.,,आज शनिवार आहे,आज  सनिबार  हो ,ਅੱਜ ਸ਼ਨੀਵਾਰ ਹੈ,Hoje é sábado,Сегодня суббота,,Hoy es sábado,காலை வணக்கம் / மதிய வணக்கம் / மாலை வணக்கம்,ఈ రోజు శనివారం,วันนี้วันเสาร์,Bugün Cumartesi,Hôm nay là thứ 7,
Greetings,Today is Sunday,Hari ini hari Minggu,,ယနေ့တနင်္ဂနွေနေ့ဖြစ်သည်။,Днес е неделя.,我们会把您转去隔离设施,Huwag gagalaw,Aujourd'hui c'est dimanche,ມື້ນີ້ແມ່ນວັນອາທິດ,今日は日曜日です。,ថ្ងៃនេះគឺជាថ្ចៃអាទិត្យ,Heute ist Sonntag,આજે રવિવાર છે,,הַיּוֹם יוֹם רִאשׁוֹן,"""If coronavirus positive, we call your phone by tomorrow. 
 If coronavirus negative, we send you SMS after 3 days""",आज रविवार है,Oggi è domenica,큰 기침을 한번 해주세요,Hari ini hari Ahad.,,आज रविवार आहे,आज  आइतबार  हो,ਅੱਜ ਐਤਵਾਰ ਹੈ,Hoje é domingo,Сегодня воскресенье,,Hoy es domingo,நான் ஒரு தாதி.,ఈరోజు ఆదివారం,วันนี้วันอาทิตย์,Bugün Pazar,Hôm nay là chủ nhật,
Greetings,You are getting better,Anda sedang membaik,,သင်သက်သာသွားပါပြီ။,Подобрявате се. ,早上好，下午好，晚上好,Itaas ang kamay,Vous vous améliorez,ທ່ານເລີ່ມໄຄຂຶ້ນແດ່ແລ້ວ,よくなってきています。,អ្នកកំពុងតែជាប្រសើរឡើងហើយ,Du wirst besser,તમારી તબિયત સારી થઇ રહી છે. તમે સાજા થઇ રહ્યા છો,,אַתָּה/אַתְּ מִשְׁתַּפֵּר/מִשְׁתַּפֶּרֶת,"Later, you will do an X-ray",आप ठीक हो रहे हैं ,Si stanno migliorando,몸부림 치지 마세요,Anda semakin pulih,,आपण चांगले मिळत आहेत,तपाइको  स्वास्थ  राम्रो  हुदै  गैरहेको  छ  ,ਤੁਸੀਂ ਠੀਕ ਹੋ ਰਹੇ ਹੋ,Você está melhorando,Вы выздоравливаете,,Estás mejorando,நான் ஒரு மருத்துவர்,మీ ఆరోగ్యం మెరుగుపడుతోంది,อาการของคุณดีขึ้นแล้ว,Sen daha iyiye gidiyor,Anh/chị đang khoẻ lên đấy,
Medical Instructions,We will remove the breathing tube when you are better,Kami akan melepaskan tabung pernapasan setelah anda membaik,,သင်သက်သာသွားလျှင်အသက်ရှူပိုက်ကိုဖြုတ်မည်။,"Ще извадим интубационната тръба, когато сте по-добре.",我是护士,Itaas ang paa,Nous retirerons la sonde d'intubation quand vous irez mieux,ພວກເຮົາຈະຖອດທໍ່ຊ່ວຍຫາຍໃຈອອກເມື່ອທ່ານໄຄຂຶ້ນ,よくなってきたら気管チューブを抜きます。,យើងនឹងដកបំពង់ដកដង្ហើមចេញនៅពេលដែលអ្នកបានធូរស្រាល,"Wir werden den Atemschlauch entfernen, wenn Sie besser sind",જયારે તમે સાજા થઇ જશો ત્યારે અમે આ બહારની શ્વાસનળી કાઢશું,,נְנַתֵּק אֶת צִינּוֹר הַהַנְשָׁמָה כְּשֶׁתַּרְגִּישׁ/כְּשֶׁתַּרְגִּישִׁי יוֹתֵר טוֹב.,There is no sign of infection on your X-ray,"जब आप बेहतर होंगे, तब हम ये सांस लेने वाली नली निकाल देंगे ",Provvederemo a rimuovere il tubo di respirazione quando si sta meglio,움직이지 마세요,Kami akan mengeluarkan tiub pernafasan apabila keadaan anda lebih baik,,"आपण चांगले आहा, तेव्हा आम्ही श्वास नलिका काढेल",तपाईलाई सन्चो  भएपछि  हामी  सास  फेर्ने  ट्युब  निकाल्ने  छौं,ਜਦੋਂ ਤੁਸੀਂ ਬਿਹਤਰ ਹੁੰਦੇ ਹੋ ਤਾਂ ਅਸੀਂ ਸਾਹ ਲੈਣ ਵਾਲੀ ਨਲੀ/ਪਾਈਪ ਨੂੰ ਹਟਾ ਦੇਵਾਂਗੇ,Vamos remover o tubo de respiração quando estiver melhor,"Мы удалим дыхательную трубку, когда вам станет лучше",,Quitaremos el tube en cuanto estés mejor,நீங்கள் தீவிர சிகிச்சை பிரிவில் இருக்கிறீர்கள்,మీ ఆరోగ్యం బాగున్నప్పుడు మేము గొట్టాన్ని తీసేస్తాం,เราจะถอดท่อช่วยหายใจหากอาการคุณดีขึ้น,Daha iyi olduğunda biz solunum tüpü kaldıracaktır,Chúng tôi sẽ gỡ ống thở khi anh/chị khoẻ lên,
Medical Instructions,You can talk after we remove the breathing tube,Anda dapat berbicara setelah kami melepaskan tabung pernapasannya,,အသက်ရှူပိုက်ကိုဖြုတ်ပြီးလျှင်စကားပြောနိုင်သည်။,"Можете да говорите, след като извадим интубационната тръба. ",我是医生,Pisilin ang kamay ko,Vous pourrez parlé après que nous ayons retiré la sonde d'intubation,ທ່ານສາມາດລົມໄດ້ຫຼັງຈາກທີ່ພວກເຮົາຖອດທໍ່ຊ່ວຍຫາຍໃຈອອກແລ້ວ,気管チューブを抜いた後に喋れますよ。,អ្នកនឹងអាចនិយាយបានបន្ទាប់ពីពួកយើងដកបំពង់ដកដង្ហើមចេញ,"Sie können sprechen, nachdem wir den Atemschlauch entfernen",બહારની શ્વાસનડી નીકળી જાય પછી તમે વાત કરી શકશો,,תּוּכַל/תּוּכְלִי לְדַבֵּר אַחֲרֵי שֶׁנּוֹרִיד אֶת צִינּוֹר הַהַנְשָׁמָה,You can go back soon.,ये सांस लेने वाली नाली निकालने के बाद आप बात कर सकते हैं ,Si può parlare dopo togliamo il tubo di respirazione,팔을 올려보세요,Anda boleh bercakap selepas kami keluarkan tiub pernafasan,,आम्ही श्वास ट्यूब काढल्यानंतर आपण चर्चा करू शकता,सास  फेर्ने  ट्युब  निकालेपछि  तपाइले   बोल्न  सक्नु  हुन्छ ,ਸਾਹ ਲੈਣ ਵਾਲੀ ਨਲੀ ਨੂੰ ਹਟਾਉਣ ਤੋਂ ਬਾਅਦ ਤੁਸੀਂ ਗੱਲ ਕਰ ਸਕਦੇ ਹੋ,Você pode falar depois de remover o tubo de respiração,"Вы сможете говорить, когда мы удалим дыхательную трубку",,Podrás hablar cuando quitemos el tubo,உங்களுக்கு கொரோனா வைரஸ் இருப்பதாக உறுதி செய்யப்பட்டுள்ளது. ,మేము గొట్టాన్ని తీసిన తర్వాత మీరు మాట్లాడవచ్చు,คุณสามารถพูดคุยได้หลังจากเราถอดท่อช่วยหายใจ,Biz solunum tüpü kaldırdıktan sonra konuşabiliriz,Anh/chị có thể nói sau khi ống thở được gỡ ra,
Medical Instructions,Take a deep breath, Tarik nafas dalam-dalam,,အသက်ပြင်းပြင်းတစ်ချက်ရှူ‌ပေးပါ။,Поемете дълбоко въздух.,你在加护病房,Itaas ang dalawang daliri sa kamay,Prenez une grande respiration,ຫາຍໃຈເຂົ້າເລິກໆ,深く呼吸をしてください。,សូមដកដង្ហើមអោយធំ,Tief durchatmen,એક ઊંડો શ્વાસ લો,,קַח/קְחִי נְשִׁימָה עֲמֻוקָּה,"Wait here, do not leave this area",गहरी सांस लीजिए ,Fai un respiro profondo,다리를 올려주세요,Tarik nafas sedalamnya,,एक दीर्घ श्वास घ्या,गहिरो  सास  लिनुस,ਲੰਬਾ ਸਾਹ ਲਵੋ,Respire fundo,Сделайте глубокий вдох,,Respira profundo,நாங்கள் உங்களை தனிமைப் படுத்தும் வசதிக்கு இடமாற்றம் செய்ய போகின்றோம் ,గట్టిగా ఊపిరి తీసుకోండి,หายใจเข้าลึกๆ,Derin bir nefes al,Hãy hít một hơi sâu,
Medical Instructions,Open your mouth,Coba batuk untuk saya,,ချောင်းပြင်းပြင်းတစ်ချက်ဆိုး‌ပေးပါ။,Отворете уста. ,您知道今天是 [星期几]/[拜几] 吗,Buksan ang bibig,Ouvrez la bouche,ອ້າປາກຂອງທ່ານ,口を開けてください。,សូមក្អកអោយខ្លាំង,Öffne deinen Mund,જોરથી ખાસો/ઉધરસ ખાઓ,,פְּתַח/פִּתְחִי אֶת הַפֶּה,You have to stay in the hospital for a few days,ज़ोर से ख़ासिये ,Datemi un grande colpo di tosse,제 손을 움켜보세요,Tolong batuk sekuatnya,,तुमचे तोंड उघडा,ठुलो  खोक्नुस ,ਮੈਨੂੰ ਇੱਕ ਵੱਡੀ ਖੰਘ ਦਿਓ/ਜੌਰ ਨਾਲ ਖੰਘੌ,Dá-me um grande tosse,Покашляйте,,Tosa con fuerza,இன்று திங்கட்கிழமை,గట్టిగా దగ్గంది,ลองไอดังๆได้ไหม,Bana kocaman öksürük ver,Hãy ho một cái thật to,
Medical Instructions,Don't struggle, Jangan melawan,,မရုန်းကန်ပါနှင့်။,Не се съпротивлявайте. ,今天是星期一，二，三，四，五，六，星期天,Labas ang dila,Ne résistez pas,ຫ້າມດີ້ນ,じっとしてください。,សូមកំុំប្រឹង,Nicht kämpfen,શાંતિથી બેસજો,,אַל תֵּיאָבֵק/תֵּיאָבְקִי,I'll give you medicine to make you feel better,शांत होकर बैठिये ,Non lottare,손가락 두개를 보여주세요,Jangan lawan,,संघर्ष करू नका,नचल्नुस ,ਸੰਘਰਸ਼ ਨਾ ਕਰੋ,Não lute,Не сопротивляйтесь,,No resista,இன்று செவ்வாய்க்கிழமை,అవస్థ పడకండి,อย่าต่อสู้,uğraşma,Đừng cựa quậy,
Medical Instructions,Don't move,Jangan bergerak,,မလှုပ်ရှားပါနှင့်။,Не се движете.,你好了一些,Buksan ang mga mata,Ne bougez pas,ຫ້າມເໜັງ,動かないでください。,សូមកំុកម្រើក,Bewegen Sie sich nicht,હલન ચલન ના કરો,,אַל תָּזוּז/תָּזוּזִי,You must not work for next 5 days.,हिलिए मत ,Non ti muovere,입을 벌려보세요,Jangan bergerak,,हलू नका,नचल्नुस ,ਹਿਲੋ ਨਾ,Não se mova,Не двигайтесь,,No se mueva,இன்று புதன்கிழமை,కదలకండి,อย่าขยับ,kımıldama,Đừng di chuyển,
Medical Instructions,Lift up your arm,Angkat lengan anda,,သင်၏လက်ကိုမြှောက်‌ပေးပါ။,Повдигнете ръката си,等你好些才把呼吸管拿掉,Iilawan ko lang ang iyong mga mata. Makakasilaw lang saglit. ,Levez votre bras,ຍົກແຂນຂອງທ່ານຂຶ້ນ,腕をあげてください。,សូមលើកដៃ,Heben Sie Ihren Arm,હાથ ઉપર કરો,,תָּרִים/תָּרִימִי אֶת הַיָּד שֶׁלְּךָ/שֶׁלָּךְ,"""You must come back if you have problems with breathing.
 You must come back if you do not recover completely after 5 days""",अपना हाथ उठाइये ,Sollevare il braccio,혀를 내밀어 보세요,Naikkan tangan anda,,आपला हात वर करा,हात  माथि  उठाउनुस ,ਆਪਣੀ ਬਾਂਹ ਚੁੱਕੋ,Levante seu braço,Поднимите руку,,Levante su brazo,"
இன்று வியாழக்கிழமை",మీ చేయి పైకి ఎత్తండి,ยกแขนขึ้น,Kolunu kaldır,Giơ tay lên nào,
Medical Instructions,Lift up your leg,Angkat kaki anda,,သင်၏ခြေထောက်ကိုမြှောက်‌ပေးပါ။,Повдигнете крака си.,等我拿掉呼吸管你才讲话,Mahina na ang iyong baga. Kailangan naming magpasok ng tubo para tulungan kang huminga,Levez la jambe,ຍົກຂາຂອງທ່ານຂຶ້ນ,足をあげてください。,សូមលើកជើង,Heben Sie Ihr Bein,પગ ઉપર કરો,,תָּרִים/תָּרִימִי אֶת הָרֶגֶל שֶׁלְּךָ/שֶׁלָּךְ,Read the handout carefully,अपना पैर उठाइये ,Sollevare la gamba,눈을 떠보세요,Naikkan kaki anda,,आपला पाय वर करा,खुट्टा  माथि  उठाउनुस ,ਆਪਣੀ ਲੱਤ ਚੁੱਕੋ,Levante sua perna,Поднимите ногу,,Levante su pierna,"
இன்று வெள்ளிக்கிழமை",మీ కాలు పైకి ఎత్తండి,ยกขาขึ้น,Bacağını yukarı kaldırın,Giơ chân lên nào,
Medical Instructions,Squeeze my hand,Remas tangan saya,,ကျွန်ုပ်လက်ကိုညှစ်‌ပေးပါ။,Стиснете ръката ми.,深呼吸,Makakatulog ka na,Serrez ma main,ບີບມືຂອງຂ້າພະເຈົ້າ,私の手を強く握ってください。,សូមច្របាច់ដៃខ្ញុំ,Squeeze meine Hand,મારો હાથ દબાવો,,תִּלְחַץ/תִּלְחֲצִי אֶת הַיָּד שֶׁלִּי,Thank you,मेरा हाथ दबाइये ,Stringere la mano,눈에 불을 비추겠습니다. 밝을 수 있습니다.,Pegang dan genggam tangan saya,,माझा हात दाबा,मेरो  हात  थिच्नुस ,ਮੇਰਾ ਹੱਥ ਨਿਚੋੜੋ/ਮੇਰਾ ਹੱਥ ਦਬਾਓ,Aperte minha mão,Сожмите мою руку,,Apriete mi mano,"
இன்று சனிக்கிழமை",నా చేతిని నొక్కండి,บีบมือฉัน,Elimi sık,Nắm chặt lấy tay tôi,
Medical Instructions,Show me two fingers,Tunjukkan saya dua jari anda,,သင်၏လက်‌‌‌ေချာင်း ၂ ‌ချောင်းကိုထောင်ပြပါ။,Покажете ми два пръста.,大声咳嗽,Ipapadapa ka lang namin para tulungang lumuwag ang iyong baga,Montrez-moi deux doigts,ຍົກສອງນິ້ວໃຫ້ຂ້າພະເຈົ້າເບິ່ງ,指を2本見せてください。,សូមបង្ហាញម្រាមដៃពីរអោយខ្ញុំមើល,Zeigen Sie mir zwei Finger,મને બે આંગળીયો દેખાડો,,הַרְאֵה/הָרְאִי לִי שְׁתֵּי אֶצְבָּעוֹת,You have tested positive for coronavirus,मुझे दो उंगलियां  दिखाएँ,Mostrami due dita,폐기능이 저하되어 있습니다. 원활한 호흡을 위해 호흡용 관을 삽입하겠습니다,Tunjukkan saya dua jari,,मला दोन बोटांनी दर्शवा,दुइटा  औंला   देखाउनुस ,ਮੈਨੂੰ ਦੋ ਉਂਗਲੀਆਂ ਦਿਖਾਓ,Mostre-me dois dedos,Покажите два пальца,,Muéstreme dos dedos, இன்று ஞாயிற்றுகிழமை,నాకు రెండు వేళ్లు చూపించండి,ชูสองนิ้ว,Bana iki parmak göster,Giơ 2 ngón tay nào,
Medical Instructions,Open your mouth,Buka mulut anda,,သင်၏ပါးစပ်ကို ဟပေးပါ။,Отворете уста. ,不要挣扎,Magpapasok lang kami ng sonda/tubo sa pantog para tulungan kang maka-ihi,Ouvrez la bouche,ອ້າປາກຂອງທ່ານ,口を開けてください。,សូមបើកចំហមាត់,Öffne deinen Mund,મોઢું ખોલજો,,פְּתַח/פִּתְחִי אֶת הַפֶּה,We need to take you to the hospital.,अपना मुँह खोलिये ,Apri la bocca,수면을 취하시겠습니다,Buka mulut anda,,तुमचे तोंड उघडा,मुख  खोल्नुस ,ਆਪਣਾ ਮੂੰਹ ਖੋਲ੍ਹੋ,Abra sua boca,Откройте рот,,Abra la boca,நீங்கள் குணமடைந்து வருகிறீர்கள்,మీ నోరు తెరవండి,อ้าปาก,Ağzını aç,Há miệng ra,
Medical Instructions,Stick out your tongue,Keluarkan lidah anda,,သင်၏ လျှာကိုအပြင်သို့ထုတ်ပါ။,Дайте езика си напред. ,不要动,Magpapasok lang kami ng tubo sa loob ng ilong,Tirez la langue,ແລບລີ້ນຂອງທ່ານອອກມາ,舌を出してください。,សូមលានអណ្តាត,Haften Sie Ihre Zunge heraus,જીભ બહાર કાઢી ને બતાવો,,הוֹצֵא/הוֹצִיאִי אֶת הַלָּשׁוֹן,We will transfer you to an isolation facility.,मुझे अपना जीभ दिखाइए ,Tira fuori la lingua,폐의 팽창을 위해서 배가 위를 향하도록 하겠습니다,Keluarkan lidah anda,,आपली जीभ बाहेर काढा,जिब्रो  निकाल्नुस ,ਆਪਣੀ ਜੀਭ ਦਿਖਾਉ,Coloque sua lingua pra fora,Высуньте язык,,Saque la lengua,நீங்கள் குணம் அடைந்தப்பின் சுவாசக் குழாயை அகற்றுவோம்,మీ నాలుకను బయట పెట్టండి,แลบลิ้น,Dilini çıkar,Thè lưỡi ra,
Medical Instructions,Open your eyes,Buka mata anda,,သင့်မျက်လုံးများကို ဖြဲပြပါ။,Отворете очи.,提高你的手,Mag-injeksyon lang kami sa leeg para magbigay ng gamot,Ouvrez les yeux,ມືນຕາຂອງທ່ານ,目を開けてください。,សូមបើកភ្នែក,Öffne deine Augen,તમારી આંખો ખોલો,,פְּקַח/פִּקְחִי אֶת הָעֵינַיִים,For ICU use,अपनी आँखें खोलिए ,Apri gli occhi,폐의 팽창을 위해서 배가 아래를 향하도록 하겠습니다,Buka mata anda,,आपले डोळे उघडा,आँखा  खोल्नुस ,ਅਪਣੀਆਂ ਅੱਖਾਂ ਖੋਲੋ,Abra seus olhos,Откройте глаза,,Abra los ojos,சுவாசக் குழாயை அகற்றியப்பின் நீங்கள் பேசலாம்,మీ కళ్ళు తెరవండి,เปิดตากว้างๆ,Gözlerini aç,Mở mắt ra,
